id,name,icon,des,link,needlv,needevent,needarg,award,active
10001,通关任意普通关卡,,通关10次任意普通关卡,802,1,1001,10,"3,3,3",10
10002,成功挑战精英关卡,,成功挑战5次精英关卡,802,1,1002,5,"1,3,15",5
10003,进行伶人招募,,进行1伶人招募,701,4,1003,1,"1,2,5",5
10004,进行群伶招募,,进行1群伶招募,701,4,1004,1,"1,2,10",5
10017,美食烹饪,,进行3次美食烹饪,2101,8,1017,3,"1,3,10",5
10014,拜财神,,进行拜财神3次,1303,10,1014,3,"1,2,5",5
10010,挑战排位赛,,进行1排位赛挑战,1702,10,1010,1,"1,2,5",10
10006,成功挑战十二宗宫任意关卡,,成功挑战5次十二宗宫任意关卡,1901,16,1006,5,"1,1,3000",5
10013,升级界石,,升级任意界石2次,302,16,1013,2,"1,1,2000",5
10008,挑战勇气试炼,,成功挑战4次勇气试炼,1802,26,1008,4,"10,1,3",10
10016,戏班签到,,进行1次任意形式的戏班签到,2301,23,1016,1,"1,1,2000",10
10005,成功挑战多人副本,,成功挑战2次巴山试炼,1601,30,1005,2,"1,6,100",10
10012,韵纹强化,,进行3次韵纹强化,301,30,1012,3,"1,6,100",5
10007,挑战招福集市,,成功挑战3次招福集市,1501,31,1007,3,"1,1,5000",5
10009,无限挑战,,进行1次无限挑战,1801,34,1009,1,"6,6,100",5
