id,name,desc,belong,quality,resID,limitVip,limitRMB,attrPA,attrPF,attrMA,attrMF,attrMaxHP,attrMaxMP,attrMaxSP,attrCrit,power,FashionOffset,FashionZoder
101,青峦,大飞专属时装。晓披烟雾入青峦，山寺疏钟万木寒。,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"0,0",6
102,天门,大飞专属时装。天门中断楚江开，碧水东流至此回。,1,2,2,3,500,0,164,0,91,1974,0,0,0,302,"0,0",6
103,碧峰,大飞专属时装。巴江上峡重复重，阳台碧峭十二峰。,1,3,3,8,1000,0,0,0,0,2632,0,293,0,288,"0,0",6
104,琅琊,大飞专属时装。石门有雪无行迹，松壑凝烟满众香。,1,4,4,10,2000,0,0,0,0,3948,5,293,0,509,"0,0",6
105,泰岳,大飞专属时装。凭崖览八极，目尽长空闲。,1,5,4,0,3000,246,246,0,0,0,0,0,413,848,"0,0",6
106,后土,大飞专属时装。后土化育兮四时行，修灵液养兮元气覆。,1,5,4,0,5000,0,0,136.5,136.5,5922,0,0,0,561,"0,0",6
201,萤火,武松专属时装。汀芦处处飞萤火，照彻渔村饮不眠。,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"0,0",6
202,烈焰,武松专属时装。积浪自生火，烈焰焚乾坤。,2,2,2,3,500,0,164,0,91,1974,0,0,0,302,"0,0",6
203,烽火,武松专属时装。烽火照西京，心中自不平。,2,3,3,8,1000,0,0,0,0,2632,0,293,0,288,"0,0",6
204,赤焰,武松专属时装。赤焰烧虏云，炎氛蒸塞空。,2,4,4,10,2000,0,0,0,0,3948,5,293,0,509,"0,0",6
205,业火,武松专属时装。红莲业火炼浊天，苍云覆雨倾世篇。,2,5,4,0,3000,246,246,0,0,0,0,0,413,848,"0,0",6
206,燎原,武松专属时装。野火燎原尘涨天，道闻马嘶不相得。,2,5,4,0,5000,0,0,136.5,136.5,5922,0,0,0,561,"0,0",6
301,金戈,白糖专属时装。金戈铁马，气吞万里如虎。,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"0,0",6
302,流星,白糖专属时装。银鞍照白马，飒沓如流星。,3,2,2,3,500,0,164,0,91,1974,0,0,0,302,"0,0",6
303,风雷,白糖专属时装。风雷鼓舞三千浪，易象飞龙定在天。,3,3,3,8,1000,0,0,0,0,2632,0,293,0,288,"0,0",6
304,霹雳,白糖专属时装。马作的卢飞快，弓如霹雳弦惊。,3,4,4,10,2000,0,0,0,0,3948,5,293,0,509,"0,0",6
305,金鳞,白糖专属时装。黑云压城城欲摧，甲光向日金鳞开。,3,5,4,0,3000,246,246,0,0,0,0,0,413,848,"0,0",6
306,彗星,白糖专属时装。彗星拂地浪连海，战鼓渡江尘涨天。,3,5,4,0,5000,0,0,136.5,136.5,5922,0,0,0,561,"0,0",6
401,蒹葭,小青专属时装。所谓伊人，在水一方。,4,1,1,0,0,0,0,0,0,0,0,0,0,0,"0,0",6
402,碧水,小青专属时装。天水碧，染就一江秋色。,4,2,2,3,500,0,164,0,91,1974,0,0,0,302,"0,0",6
403,金池,小青专属时装。客来花雨际，秋水落金池。,4,3,3,8,1000,0,0,0,0,2632,0,293,0,288,"0,0",6
404,洞庭,小青专属时装。湖光秋月两相和，潭面无风镜未磨。,4,4,4,10,2000,0,0,0,0,3948,5,293,0,509,"0,0",6
405,明月,小青专属时装。春江潮水连海平，海上明月共潮生。,4,5,4,0,3000,246,246,0,0,0,0,0,413,848,"0,0",6
406,沧海,小青专属时装。乘风破浪会有时，直挂云帆济沧海。,4,5,4,0,5000,0,0,136.5,136.5,5922,0,0,0,561,"0,0",6
