id,name,des,link,needevent,needarg,award,,,,,,,,,,,
10001,成功通关任意关卡%d次,成功挑战冒险中的任意关卡，扫荡也可以,,1001,5,"1,1,100;1,2,500",,,,,,,,,,,
10002,强化任意装备%d次,强化任意装备2次,,1003,2,"1,1,100;1,2,500",,,,,,,,,,,
10003,进行%d次玉器合成操作,这是一条提示文案稍后细化,,1004,2,"1,1,100;1,2,500",,,,,,,,,,,
10004,升级任意技能%d次,这是一条提示文案稍后细化,,1002,4,"1,1,100;1,2,500",,,,,,,,,,,
20001,进行%d次体力购买,这是一条提示文案稍后细化,,1014,1,"1,1,100;1,2,500",,,,,,,,,,,
20002,扫荡任意精英关卡%d次,这是一条提示文案稍后细化,,1015,5,"1,1,100;1,2,500",,,,,,,,,,,
20003,拜财神%d次,这是一条提示文案稍后细化,,1010,3,"1,1,100;1,2,500",,,,,,,,,,,
30001,进行%d次伶人招募,这是一条提示文案稍后细化,,1006,1,"1,1,100;1,2,500",,,,,,,,,,,
30002,对任意京剧猫进行升级操作%d次,这是一条提示文案稍后细化,,1013,1,"1,1,100;1,2,500",,,,,,,,,,,
30003,进行%d次饰品洗练操作,这是一条提示文案稍后细化,,1005,5,"1,1,100;1,2,500",,,,,,,,,,,
40001,成功挑战多人副本%d次,这是一条提示文案稍后细化,,1012,2,"1,1,100;1,2,500",,,,,,,,,,,
40002,挑战招福集市%d次,这是一条提示文案稍后细化,,1007,3,"1,1,100;1,2,500",,,,,,,,,,,
40003,挑战任意十二宗宫关卡%d次,这是一条提示文案稍后细化,,1011,5,"1,1,100;1,2,500",,,,,,,,,,,
50001,刷新神秘商店%d次,这是一条提示文案稍后细化,,1009,1,"1,1,100;1,2,500",,,,,,,,,,,
50002,成功挑战任意大师关卡%次,这是一条提示文案稍后细化,,1008,2,"1,1,100;1,2,500",,,,,,,,,,,
50003,进行%d次勇气试炼挑战,这是一条提示文案稍后细化,,1001,4,"1,1,100;1,2,500",,,,,,,,,,,
60001,进行%d次排位赛挑战,这是一条提示文案稍后细化,,1003,3,"1,1,100;1,2,500",,,,,,,,,,,
60002,进行%d次同步PVP挑战,这是一条提示文案稍后细化,,1004,3,"1,1,100;1,2,500",,,,,,,,,,,
60003,进行%d次无限挑战,这是一条提示文案稍后细化,,1002,1,"1,1,100;1,2,500",,,,,,,,,,,
70001,在京剧猫商店购买%d次商品,这是一条提示文案稍后细化,,1014,1,"1,1,100;1,2,500",,,,,,,,,,,
70002,成功挑战%d次任意十二宗宫的宗主关,这是一条提示文案稍后细化,,1015,2,"1,1,100;1,2,500",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
